Name,Date,Rating,Review,Company Feedback
"LawDog Corvette","Feb 23, 2025",5,"Oh my - love love love this place. My windows were foggy and in less than a day - clear again. Tons of value for the price. Highly recommend.",""
"Stephen Busby","Feb 16, 2025",5,"Kim took care of ordering on the phone and Henry came out to measure and install. These guys are awesome! We went from broken to perfectly fixed in less than 24 hours!!! I highly recommend this company and these are the only folks I will use for window repair in the future.",""
"Abby Andrews","Dec 1, 2024",5,"Great, friendly, fast service and quality work! I called on Monday and my window was all fixed up on Tuesday. I would absolutely use them again in the future!",""
"Robert Behm","Nov 17, 2024",5,"Super service!! Everyone I dealt with was courteous, friendly, and professional. Kimberly coordinates with the appointments, Henry did measurements and Trey was installer. I had two windows (3 panes) replaced pictures are before and afters. Definitely recommend this team.",""
"Susan Harvell","Oct 27, 2024",5,"Trey did a great job fixing my broken windows. The tilt pieces were broken and windows would not stay up without support. Windows are 18+ years old and parts hard to find. The Window Hospital found and were able to fix the windows versus having to purchase new windows.",""
"GreenGlass","Oct 13, 2024",5,"Dropped off (2) window sash for repair. Customer service is amazing. I want to thank Stacy and Kim for explaining the process of how the window sash repair is done and other repair services they provide. Stacy did an amazing job on the repair. Thanks!",""
"Jacqueline Rancourt","Sep 22, 2024",5,"Very responsive and quick, and that is so appreciated. The tech was awesome. Trey (I hope I spelled that the right way) was super polite, and so efficient! I hope we never need them, but I would call them if we did.",""
"Cynthia Cutlip","Aug 11, 2024",5,"Everyone that works here is SO helpful and friendly. They go above and beyond! I would recommend The Window Hospital to everyone. The service is fast and great quality work!",""
"Mike Carbaugh","Aug 4, 2024",1,"Horrible customer service! We paid $390 to have one window replaced in April of 2024. It is now leaking when it rains. I've called 4 times to leave a message and emailed twice with no response! Can't begin to say how annoyed and frustrating this is!",""
"Julie Lenser","Jul 21, 2024",5,"Great customer service from start to end! Great people and great price. Definitely recommend!",""
"terry woody","Jul 21, 2024",5,"Fast Service - Good prices - Really nice people to work with! Trey did a great job!",""
"Monica Pauley (Bowlyow)","Jul 7, 2024",5,"From beginning to end these people were over the top courteous, efficient, and professional. Great job on replacing the window. With measurements and the replacement I swear it was an hour tops, in two days. Tra, the guy who replaced it was as courteous, polite, efficient, and professional. I'm so glad I contacted this company. The came right out and gave us the service we requested at a great price. Thank you so much.",""
"Jason Searls","Jun 23, 2024",5,"I sent in pictures of my broken window and received a quick response with a reasonable estimate. An appointment to do the glass repair was set up. In the day of the appointment my window was repaired within 3 hours! Great service, quality work, and will receive all my glass work in the future.",""
"Katie Cavanaugh","Apr 21, 2024",5,"We had an incredibly easy, affordable, and pleasant experience with The Window Hospital. They repaired four windows in less than half a day. I would highly recommend them.",""
"Lynn Wagner","Apr 7, 2024",1,"It’s with a heavy heart that I write this review, because I know there is a need for this service & liked the owner when he initially came to our house. We had glass replaced in three sashes of wooden windows. The installer came and spent the day breaking each pane out, gouging the wood surrounding the panes, and leaving glue oozing out of all sides. After calling & sending photos to the office, they sent him back out to fix the problem. He spread a lot of putty on the wood & cut out the glue. The work looked like it had been done by a first grader. When I relayed our dissatisfaction to the owner, I hoped he’d come out to look. His response was that we were lucky that the installer had come out the second time, because their disclaimer says that they are not responsible for ‘cleanup’. Didn’t realize the cleanup meant half the job. I’ll end by saying that he told me that I had gotten his best installer, while the installer himself said he was the only one doing installations. Please see photos",""
"Kristi Murphy","Mar 15, 2024",5,"Really happy with the service provided. Great prices, super helpful and friendly employees and they work super quickly. What more can you ask for? 10/10 will recommend",""
"Anne Lause","Oct 18, 2023",5,"The staff at The Window Hospital, Inc. are so professional and friendly. They were very quick and helpful in replacing a broken window and fixing window screens. The work is great quality. The staff goes above and beyond to make sure you are satisfied and are always in contact with you. I highly recommend this company! Positive: Responsiveness, Quality, Professionalism, Value",""
"Heather Cooper","Oct 10, 2023",5,"THIS BUSINESS IS OUTSTANDING IN EVERY WAY! completely professional, quick response, fixed the foggy glass in my window in 30 mins and no mess..Josh and Tra were so fabulous, friendly and skilled! Phone representative was wonderful, PRICE WAS STELLAR!! I had put this job off for 2 years thinking it would be such a pain and expensive and my window ia like new in 30 mins, 300 dollars and a phone call! You probably don't need a whole new window, you just need these fine people! Positive: Responsiveness, Quality, Professionalism, Value",""
"Fred Faizi","Aug 22, 2023",5,"Yes, indeed great company with reliable service. Happy I called them.",""
"Joyce Marks","Jun 15, 2023",5,"I contacted The Window Hospital to replace two cracked double pane windows. From the initial contact through the installation, the customer service was EXCEPTIONAL! Thank you to the team (Josh, Eric, Tra, Stacey, Kim and Dro) for making this a stress free and enjoyable process. Will certainly be in touch for future projects. Positive: Responsiveness, Quality, Professionalism, Value",""
"Jeremy S","Jun 6, 2023",5,"The Window Hospital is hands down the best glass company in the area! We were stuck in a bind on Memorial Day and didn’t think anyone would answer. Not only did Josh answer but he was at our house an hour later and even installed 2 brand new window panes in our bathroom the same day! Customer service at its finest. Prices were reasonable and quality installation. Wish I found the Window Hospital sooner so I wouldn’t have been ripped off by other vendors for previous glass repairs.",""
"Josh Adams","May 31, 2023",5,"Great company. Highly recommend!",""
"Rick Johnson","May 22, 2023",5,"After exploring all kinds of options, quotes, and a previous window install that Window World botched, we went with Josh and his team at The Window Hospital. The process is actually pretty amazing and there's no upselling, pressure, etc. I had an odd schedule last week, but Josh checked every window, cataloged the measurements and annotated each sash that needed to be replaced. You're only buying what you need. He and his team returned a few days later (again, that was on me, it would have been same day) to do the installation. I have to give a shoot out to Tra and his kind engaging personality. He knocked out all the windows same day, and everything looked amazing. We encountered a minor hiccup in our casement window, but after looking at the hardware/tracks I just ordered a new set. Nothing that was their fault, just worn hinges. $60 to order two sets from Grainger, and after watching a YouTube video these were a breeze to install. I'm sure they would have switch them for me, but it was something I wanted to do. This was the absolute best decision to go this route. No vinyl capping, replacing only what was needed, matches perfectly to original windows, no siding removal, and no frame alignment problems, etc. etc. etc. The price is very affordable compared to replacement windows. Quick, affordable, professional, and the endresult is a house that we can finally enjoy our wonderful views. To appreciate the job, we had 38 total sashes replaced. Literally, every top sash and about half of the bottoms. Thanks Josh and Tra!! Positive: Responsiveness, Quality, Professionalism, Value",""
"Ktari pentorn","May 19, 2023",5,"Update: Joshua replaced the windows with defective film and completed the repairs as promised. I’m glad we were able to resolve my concerns. The windows look great. And we are now satisfied customers.",""
"Jared Johnson","May 8, 2023",5,"I contacted the window hospital this morning about a chipped window at my home. Within 30 minutes they did an evaluation and measurement, and less than 3 hours later had a technician on site to repair. Great service and would recommend to anyone needed a window repair. Positive: Responsiveness, Quality, Professionalism",""
"Barbara S","Jan 24, 2023",5,"I loved everything about this company. I had a broken window,, broken glass and a torn screen. They did a fast, great job! So easy to work with. I had no idea a company like this existed. Highly recommend! Positive: Responsiveness, Quality, Professionalism, Value",""
"Elise Mercer","Jan 1, 2023",5,"Took less than 24 hours for my window to be fixed. Super friendly people who are quick to respond and help you out. Great pricing! Positive: Responsiveness, Quality, Professionalism, Value",""
"Routee Gittens","Oct 17, 2022",5,"View full review",""
