Name,Date,Rating,Review,Company Feedback
"Lucas M.","Apr 16, 2024",5,"The Window Hospital provided reasonable pricing and was very flexible. The Tech that came out was incredibly nice and did the work quickly! Details: 1 window • Broken glass • Double hung (slides up and down) • Residential",""
"J J.","Jul 31, 2023",5,"We had a baseball go through one of our kids windows and needed a repair. The Window hospital was wonderful from start to finish. Our tech came out the first morning we were supposed to have it measured but we were in the ER with more small child chaos. They were so patient and said they’d resend him out. I asked my husband to tip accordingly for wasting his time. He was very cool about the whole thing and didn’t make me feel like a jerk. He measurement was fast and he was back another day which we requested to have the glass installed. He was in and out in like 15 minutes. And was sure to let me know I should wash my sons bedding because of loose glass that may have gotten out. 100% professional, fast, easy and great communication. They text all info and appt info to you and you can communicate via text if you hate talking on the phone. Invoice arrived in my email via Quickbooks and I could pay with ApplePay so bonus for that! Thank you TWH for being modern and professional! 5 stars! …Read more Details: 1 window • Broken glass • Double hung (slides up and down) • Residential",""
"Dalen H.","Nov 11, 2021",5,"They did a great job, and were very responsive and friendly. I will definitely use them again on any window or glass repairs. Details: 2 - 4 windows • Won't open or close properly • Double hung (slides up and down) • Residential",""
"Sonya W.","Nov 18, 2014",5,"I received an immediate response from Josh Zabec (Eastern Shore Window & Door) to my request for help with a window repair. He actually came out the same day, let me know what he recommended. He followed up with me as soon as my new glass has arrived and installed the glass for me. I truly appreciated his professionalism and great personality as well. I will recommend this company to my friends and will also recommend Thumbtack! …Read more",""
"Nadine D.","Nov 7, 2014",5,"Josh was the first to respond and has proven himself to be the best choice! He was honest in his assessment of our window and made every effort to repair rather than replace. He was punctual and stands behind the work of his family owned company. I will definitely be referring him to others! Thanks thumb tack for a great experience!",""
"Nadine D.","Nov 7, 2014",5,"Josh was the first to respond and has proven himself to be the best choice! He was honest in his assessment of our window and made every effort to repair rather than replace. He was punctual and stands behind the work of his family owned company. I will definitely be referring him to others! Thanks thumb tack for a great experience!",""
"Heath W.","Dec 20, 2018",5,"Josh from The Window Hospital delivered exactly the repair he'd promised at the price he'd quoted and exact time he'd said he would've Doesn't get better than that. We had a seal failure in a double pane window. Josh removed the window, took it with him, and returned two hours later with a replacement. …Read more Details: 1 window • Window sealing • Double hung (slides up and down) • Residential",""
"Lawrence S.","Nov 28, 2014",5,"Josh responded to my call immediately. He took the pane measurements by phone and was at my place in DC, on the Wednesday before Thanksgiving, in snowy/slushy weather within two hours. He replaced the pane, replaced the sash cords and reassembled a 100 year old casement window I had taken apart in a failed repair attempt. Josh couldn't have been more pleasant and respectful. Price was exactly as quoted. I will definitely hire him in the future. …Read more",""
"Virginia M.","Oct 13, 2014",5,"Mr. Zabec arrived on time to repair a broken pane of glass in a wooden kitchen door of our 70 year old home. He called before he arrived, was very pleasant and polite. I was impressed by his efficiency and knowledge of the particulars of working on an old house and explained the options for the different steps in the repair and suggested what would be best, explaining why. He went above and beyond by offering to paint the trim around the window pane that had had to be removed to do the repair if I had matching paint available, which I had. He even supplied the paint brush which I lacked. It all took less than an hour. When I had had another pane replaced in the past by someone else, I had to have someone else come in and repaint the trim. For having a broken window, it was an all around excellent experience. …Read more",""
"Lisa G.","Dec 15, 2014",5,"Josh repaired 4 windows for us. He arrived exactly when he said he would, rush hour and all. Josh is a professional, the window repairs are all perfect, he is courteous, he explains what he recommends options and explains what he is going to do. We had a two step job and he put in extra time to complete it all in one visit. I highly recommend Josh.",""
"Thumbtack U.","Jan 17, 2019",5,"Got my window repaired for a great price. Josh offered same day service, which was a welcome surprise. I am a happy customer! Details: 1 window • Broken glass • Double hung (slides up and down) • Residential",""
"Jamie G.","Feb 10, 2016",5,"Josh was professional and efficient. He scheduled a window repair around my schedule and my tenant's. I would highly recommend him.",""
"Priyanga T.","Jul 21, 2015",5,"Josh was great - responsive, knowledgeable, efficient, and friendly. Couldn't have been easier to get my window repaired within 1 day from contact to completion. Highly recommended!",""
"Jerry B.","Feb 26, 2019",5,"Josh responded quickly and delivered on time as he committed. I will be using him to repair a window in my new home also. He is polite respectful and professional. Details: 1 window • Broken glass • Double hung (slides up and down) • Residential",""
"Cheryl D.","Nov 8, 2014",5,"Josh repaired my window cords and went above and beyond to help me with things I need done to get ready to sell my house. He is very personable and friendly. If I had a son, I would want him to be just like Josh! Good guy! Do not hesitate to call him.",""
